Season,Extend_Len,Window,Threshold,RMSE_Weight,MMD_Weight,Dec_Extra,MIC_Threshold,Map_Len,MAE,RMSE,MAPE,IA,Total_Time,Stage
冬季,10,3,3.0,1.0,0.1,7,0.2,7,0.7589,1.0788,0.3089,0.919,471.36,3_Opt_Threshold
冬季,10,3,5.0,1.0,0.1,7,0.2,7,0.7743,1.0941,0.3153,0.9174,484.81,3_Opt_Threshold
冬季,10,3,7.0,1.0,0.1,7,0.2,7,0.7562,1.0718,0.3077,0.9208,1111.66,3_Opt_Threshold
冬季,10,3,9.0,1.0,0.1,7,0.2,7,0.7932,1.1059,0.3224,0.915,481.9,3_Opt_Threshold
冬季,10,3,11.0,1.0,0.1,7,0.2,7,0.7962,1.1137,0.322,0.9143,482.59,3_Opt_Threshold
冬季,10,3,7.0,1.0,0.1,3,0.2,7,1.0968,1.3877,0.4775,0.8828,529.97,4_Opt_DecExtra
冬季,10,3,7.0,1.0,0.1,5,0.2,7,0.804,1.1145,0.3239,0.9142,496.0,4_Opt_DecExtra
冬季,10,3,7.0,1.0,0.1,7,0.2,7,0.7562,1.0718,0.3077,0.9208,1111.66,4_Opt_DecExtra
冬季,10,3,7.0,1.0,0.1,9,0.2,7,0.7592,1.0796,0.3082,0.9193,511.69,4_Opt_DecExtra
冬季,10,3,7.0,1.0,0.1,11,0.2,7,0.7546,1.0732,0.308,0.9202,514.75,4_Opt_DecExtra
冬季,10,3,7.0,0.1,0.1,11,0.2,7,0.7358,1.056,0.2997,0.923,535.76,5_Opt_RmseWeight
冬季,10,3,7.0,0.5,0.1,11,0.2,7,0.7632,1.0943,0.3017,0.9174,507.03,5_Opt_RmseWeight
冬季,10,3,7.0,1.0,0.1,11,0.2,7,0.7546,1.0732,0.308,0.9202,514.75,5_Opt_RmseWeight
冬季,10,3,7.0,1.5,0.1,11,0.2,7,0.7617,1.0845,0.3076,0.9186,518.74,5_Opt_RmseWeight
冬季,10,3,7.0,2.0,0.1,11,0.2,7,0.7726,1.0979,0.3117,0.917,509.13,5_Opt_RmseWeight
冬季,10,3,7.0,0.1,0.01,11,0.2,7,0.7325,1.039,0.296,0.9246,488.56,6_Opt_MmdWeight
冬季,10,3,7.0,0.1,0.05,11,0.2,7,0.753,1.0739,0.3026,0.9199,499.62,6_Opt_MmdWeight
冬季,10,3,7.0,0.1,0.1,11,0.2,7,0.7358,1.056,0.2997,0.923,535.76,6_Opt_MmdWeight
冬季,10,3,7.0,0.1,0.2,11,0.2,7,0.7584,1.0832,0.3046,0.9189,510.66,6_Opt_MmdWeight
冬季,10,3,7.0,0.1,0.5,11,0.2,7,0.7565,1.0734,0.3074,0.9203,509.63,6_Opt_MmdWeight
冬季,10,3,7.0,0.1,0.01,11,0.1,10,0.7814,1.1081,0.3191,0.914,478.64,7_Opt_MicThreshold
冬季,10,3,7.0,0.1,0.01,11,0.15,10,0.7945,1.121,0.3203,0.9148,494.73,7_Opt_MicThreshold
冬季,10,3,7.0,0.1,0.01,11,0.2,7,0.7325,1.039,0.296,0.9246,488.56,7_Opt_MicThreshold
冬季,10,3,7.0,0.1,0.01,11,0.25,6,0.7136,1.0267,0.287,0.9279,520.63,7_Opt_MicThreshold
冬季,10,3,7.0,0.1,0.01,11,0.3,5,0.7252,1.0354,0.2899,0.9254,523.58,7_Opt_MicThreshold
